"Specification","Final_rstar","Lambda_g","Lambda_z","IS_slope","Phillips_slope"
"1961-present (baseline)",1.37,0.0645,0.0216,-0.0768,0.0469
"1985-present",NA,NA,NA,NA,NA
"2010-present",NA,NA,NA,NA,NA
