"Model","R_squared","Adj_R_squared","AIC","BIC","Rate_gap_coef","Rate_gap_tstat"
"Baseline",0.929372569463733,0.928377816920969,425.661417140432,442.560903908134,-0.0724947815363203,-3.91909669005231
"With NFCI",0.935492138595879,0.934275009135424,407.99438056886,428.273764690103,-0.0449474184020245,-2.39662878931359
"NFCI Only",0.933744392554449,0.932811214984793,411.795442298622,428.694929066324,NA,NA
"With Spread",0.93040263684086,0.929089479045405,424.473269942941,444.752654064183,-0.0734101320415175,-3.98687463180234
"Interaction",0.936117191749865,0.934603381127824,407.881491737141,431.540773211925,-0.0362021370822392,-1.84021821784425
