"Specification","Final_rstar","Lambda_g","Lambda_z","IS_slope","Phillips_slope"
"Baseline (kappa + phi)",1.37,0.0645,0.0216,-0.0768,0.0469
"No variance scaling",1.35,0.0514,0.0227,-0.0556,0.096
