"Specification","Final_rstar","Lambda_g","Lambda_z","IS_slope","Phillips_slope"
"a_r < -0.001",1.37,0.0645,0.0216,-0.0768,0.0469
"a_r < -0.0025 (baseline)",1.37,0.0645,0.0216,-0.0768,0.0469
"a_r < -0.005",1.37,0.0645,0.0216,-0.0768,0.0469
"a_r < -0.01",1.37,0.0645,0.0216,-0.0768,0.0469
